Time, Voltage, PWM
312.393000, 0.000000, 75
313.255000, 0.000000, 75
313.903000, 0.000000, 75
314.500000, 0.000000, 75
315.314000, 0.000000, 75
315.993000, 0.000000, 75
316.535000, 0.000000, 75
317.317000, 0.000000, 75
318.025000, 0.000000, 75
318.628000, 0.000000, 75
319.438000, 0.000000, 75
320.125000, 0.000000, 75
320.729000, 0.000000, 75
321.561000, 0.000000, 75
322.264000, 0.000000, 75
322.914000, 0.000000, 75
323.752000, 0.000000, 75
324.449000, 0.000000, 75
325.060000, 0.000000, 75
325.839000, 0.000000, 75
326.529000, 0.000000, 75
327.206000, 0.000000, 75
327.951000, 0.000000, 75
328.611000, 0.000000, 75
329.177000, 0.000000, 75
330.007000, 0.000000, 75
330.690000, 0.000000, 75
331.360000, 0.000000, 75
332.176000, 0.000000, 75
332.842000, 0.000000, 75
333.502000, 0.000000, 75
334.316000, 0.000000, 75
334.988000, 0.000000, 75
335.599000, 0.000000, 75
336.399000, 0.000000, 75
337.100000, 0.000000, 75
337.665000, 0.000000, 75
338.461000, 0.000000, 75
339.149000, 0.000000, 75
339.705000, 0.000000, 75
340.487000, 0.000000, 75
341.180000, 0.000000, 75
341.823000, 0.000000, 75
342.541000, 0.000000, 75
343.284000, 0.000000, 75
344.025000, 0.000000, 75
344.785000, 0.000000, 75
345.461000, 0.000000, 75
346.129000, 0.000000, 75
346.982000, 0.000000, 75
347.639000, 0.000000, 75
348.246000, 0.000000, 75
349.050000, 0.000000, 75
349.752000, 0.000000, 75
350.381000, 0.000000, 75
351.209000, 0.000000, 75
351.902000, 0.000000, 75
352.480000, 0.000000, 75
353.272000, 0.000000, 75
353.967000, 0.000000, 75
354.534000, 0.000000, 75
355.327000, 0.000000, 75
356.011000, 0.000000, 75
356.569000, 0.000000, 75
357.290000, 0.000000, 75
357.987000, 0.000000, 75
358.565000, 0.000000, 75
359.205000, 0.000000, 75
359.856000, 0.805664, 75
360.592000, 0.805664, 75
361.259000, 1.611328, 75
361.900000, 1.611328, 75
362.781000, 2.416992, 75
364.040000, 2.416992, 75
364.939000, 3.222656, 75
365.783000, 3.222656, 75
366.565000, 3.222656, 75
367.340000, 4.833984, 75
368.392000, 5.639648, 75
369.179000, 6.445312, 75
370.634000, 7.250976, 75
371.523000, 8.862305, 75
372.255000, 11.279297, 76
372.986000, 12.890625, 80
374.029000, 13.696289, 85
375.478000, 15.307617, 92
376.805000, 21.752930, 109
377.626000, 28.198242, 110
378.342000, 33.032227, 110
379.003000, 27.392578, 110
379.867000, 26.586914, 110
380.884000, 30.615234, 110
381.674000, 29.003904, 110
382.792000, 28.198242, 110
383.586000, 22.558594, 110
384.549000, 24.975584, 110
385.594000, 29.003904, 110
386.372000, 27.392578, 110
387.379000, 24.169922, 110
388.211000, 20.141602, 110
389.035000, 25.781250, 110
389.943000, 26.586914, 110
390.848000, 27.392578, 110
391.806000, 24.169922, 110
392.602000, 20.947264, 110
393.523000, 26.586914, 110
394.634000, 26.586914, 110
395.416000, 25.781250, 110
396.291000, 23.364258, 110
397.017000, 17.724609, 110
397.956000, 23.364258, 110
398.803000, 25.781250, 110
399.512000, 24.169922, 110
400.251000, 21.752930, 110
400.946000, 19.335938, 110
401.836000, 20.947264, 110
402.667000, 21.752930, 110
403.603000, 23.364258, 110
404.489000, 22.558594, 110
405.194000, 18.530273, 110
406.163000, 14.501952, 110
406.988000, 18.530273, 110
407.734000, 20.141602, 110
408.686000, 20.141602, 110
409.437000, 20.947264, 110
410.473000, 20.141602, 110
411.326000, 16.918943, 110
412.096000, 15.307617, 110
413.164000, 18.530273, 110
414.128000, 20.141602, 110
414.861000, 20.947264, 110
415.543000, 20.141602, 110
416.506000, 17.724609, 110
417.430000, 15.307617, 110
418.090000, 17.724609, 110
418.870000, 18.530273, 110
419.594000, 19.335938, 110
420.540000, 20.141602, 110
421.504000, 18.530273, 110
422.248000, 16.918943, 110
423.007000, 13.696289, 110
423.675000, 16.113281, 110
424.631000, 17.724609, 110
425.502000, 17.724609, 110
426.200000, 17.724609, 110
426.955000, 16.918943, 110
427.656000, 16.113281, 110
428.614000, 12.890625, 110
429.369000, 10.473632, 110
430.370000, 14.501952, 110
431.126000, 16.113281, 110
431.845000, 16.918943, 110
433.098000, 16.918943, 110
434.652000, 15.307617, 110
435.507000, 15.307617, 110
436.245000, 14.501952, 110
436.992000, 12.084961, 110
438.026000, 13.696289, 110
439.290000, 14.501952, 110
440.072000, 15.307617, 110
440.789000, 16.113281, 110
441.454000, 16.113281, 110
442.236000, 14.501952, 110
443.179000, 12.890625, 110
443.903000, 11.279297, 110
444.907000, 12.890625, 110
445.855000, 14.501952, 110
446.780000, 15.307617, 110
447.864000, 15.307617, 110
448.609000, 13.696289, 110
449.437000, 13.696289, 110
450.139000, 13.696289, 110
451.012000, 12.084961, 110
451.538000, 10.473632, 110
452.038000, 9.667969, 110
453.113000, 11.279297, 110
454.020000, 12.890625, 110
455.030000, 12.084961, 110
455.868000, 13.696289, 110
456.812000, 12.890625, 110
457.828000, 12.084961, 110
458.575000, 11.279297, 110
459.048000, 10.473632, 110
459.600000, 9.667969, 110
460.580000, 8.056641, 107
461.297000, 10.473632, 107
462.125000, 11.279297, 108
463.182000, 12.084961, 110
464.008000, 12.084961, 110
465.075000, 12.890625, 110
466.053000, 12.890625, 110
466.869000, 12.084961, 110
467.734000, 11.279297, 110
468.173000, 10.473632, 110
468.708000, 9.667969, 110
469.675000, 8.056641, 107
470.185000, 9.667969, 107
471.088000, 11.279297, 108
471.953000, 11.279297, 109
472.847000, 11.279297, 110
473.516000, 10.473632, 110
474.082000, 10.473632, 110
474.679000, 10.473632, 110
475.130000, 10.473632, 110
475.660000, 9.667969, 110
476.656000, 8.862305, 108
477.394000, 8.056641, 105
478.439000, 7.250976, 100
479.358000, 6.445312, 94
480.354000, 8.056641, 91
481.244000, 8.862305, 89
482.174000, 8.862305, 87
482.694000, 9.667969, 87
483.401000, 8.862305, 85
483.947000, 9.667969, 85
484.445000, 9.667969, 85
485.264000, 8.862305, 83
486.233000, 7.250976, 78
486.993000, 7.250976, 75
488.193000, 8.056641, 75
489.093000, 7.250976, 75
489.883000, 5.639648, 75
490.700000, 5.639648, 75
491.567000, 5.639648, 75
492.480000, 5.639648, 75
493.378000, 5.639648, 75
494.094000, 5.639648, 75
494.811000, 5.639648, 75
495.704000, 5.639648, 75
496.609000, 5.639648, 75
497.647000, 6.445312, 75
498.419000, 5.639648, 75
499.067000, 5.639648, 75
500.006000, 5.639648, 75
500.804000, 5.639648, 75
501.531000, 5.639648, 75
502.274000, 4.833984, 75
503.052000, 4.833984, 75
504.430000, 4.833984, 75
505.454000, 4.028320, 75
506.304000, 4.028320, 75
507.069000, 4.028320, 75
507.738000, 3.222656, 75
508.579000, 3.222656, 75
509.348000, 3.222656, 75
510.176000, 2.416992, 75
510.934000, 2.416992, 75
511.776000, 2.416992, 75
512.880000, 2.416992, 75
514.111000, 2.416992, 75
514.846000, 2.416992, 75
515.731000, 2.416992, 75
516.465000, 2.416992, 75
517.281000, 2.416992, 75
518.539000, 2.416992, 75
519.674000, 2.416992, 75
520.461000, 2.416992, 75
521.434000, 1.611328, 75
522.235000, 1.611328, 75
523.816000, 1.611328, 75
524.862000, 1.611328, 75
525.705000, 1.611328, 75
526.628000, 1.611328, 75
527.335000, 0.805664, 75
528.509000, 0.805664, 75
529.472000, 0.805664, 75
530.375000, 0.805664, 75
531.112000, 0.805664, 75
531.839000, 0.805664, 75
532.746000, 0.805664, 75
533.533000, 0.000000, 75
534.365000, 0.000000, 75
535.106000, 0.000000, 75
535.768000, 0.000000, 75
536.437000, 0.000000, 75
537.026000, 0.000000, 75
537.627000, 0.000000, 75
538.358000, 0.000000, 75
538.922000, 0.000000, 75
539.566000, 0.000000, 75
540.190000, 0.000000, 75
540.805000, 0.000000, 75
541.444000, 0.000000, 75
542.103000, 0.000000, 75
542.686000, 0.000000, 75
543.332000, 0.000000, 75
543.974000, 0.000000, 75
544.560000, 0.000000, 75
545.201000, 0.000000, 75
545.855000, 0.000000, 75
546.599000, 0.000000, 75
547.198000, 0.000000, 75
547.882000, 0.000000, 75
548.460000, 0.000000, 75
549.057000, 0.000000, 75
549.747000, 0.000000, 75
550.310000, 0.000000, 75
550.857000, 0.000000, 75
551.542000, 0.000000, 75
552.094000, 0.000000, 75
552.703000, 0.000000, 75
553.540000, 0.000000, 75
554.163000, 0.000000, 75
554.734000, 0.000000, 75
555.428000, 0.000000, 75
555.992000, 0.000000, 75
556.660000, 0.000000, 75
557.395000, 0.000000, 75
558.023000, 0.000000, 75
559.048000, 0.000000, 75
559.762000, 0.000000, 75
560.473000, 0.000000, 75
561.293000, 0.000000, 75
561.985000, 0.000000, 75
562.524000, 0.000000, 75
563.231000, 0.000000, 75
563.885000, 0.000000, 75
564.445000, 0.000000, 75
565.246000, 0.000000, 75
565.939000, 0.000000, 75
566.505000, 0.000000, 75
567.356000, 0.000000, 75
567.970000, 0.000000, 75
568.527000, 0.000000, 75
569.335000, 0.000000, 75
569.999000, 0.000000, 75
570.542000, 0.000000, 75
571.461000, 0.000000, 75
572.162000, 0.000000, 75
572.759000, 0.000000, 75
573.469000, 0.000000, 75
574.100000, 0.000000, 75
574.685000, 0.000000, 75
575.305000, 0.000000, 75
575.975000, 0.000000, 75
576.532000, 0.000000, 75
577.350000, 0.000000, 75
577.988000, 0.000000, 75
578.577000, 0.000000, 75
579.238000, 0.000000, 75
579.854000, 0.000000, 75
580.420000, 0.000000, 75
581.185000, 0.000000, 75
581.854000, 0.000000, 75
582.474000, 0.000000, 75
583.087000, 0.000000, 75
583.728000, 0.000000, 75
584.329000, 0.000000, 75
